species,common,family,author,status,states,native,shape,pupa,height,width,whorls,whorl_method,perforate,imperforate,umbilicate,rimate,lip_reflected,deflected,teeth,parietal,palatal,columellar,basal,ovate,lunate,slit,flattened,shouldered,moderately_shouldered,rounded,spiral_striae,lirate,axial_striae,axial_ridges,lamellar_ribs,wrinkles,malleations,papillae,puncta,hairs,blotches,bands,operculum,pedal,shell_color,notes
Pupilla muscorum,Widespread Column,Pupillidae,"(Linnaeus, 1758) ",G5,"OK,SD,TX,UT,VA,VT,WI,WV,AB,NF,NS,ON,QC,IA,IL,KS,MA,MD,ME,MI,MN,MO,ND,NE,NJ,NM,NY,OH",y,Pupa,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Pupoides albilabris,White-Lip Dagger,Pupillidae,"(C.B. Adams, 1841) ",G5,"UT,VA,VT,WI,WV,ON,QC,AL,AR,CA,DE,FL,GA,IA,IL,IN,KS,KY,LA,MD,ME,MI,MO,MS,NC,NE,NJ,NM,NY,OH,OK,PA,RI,SC,SD,TN,TX",y,Pupa,,"4.2,5","2,2.2","6,6.5",,y,n,n,y,y,,y,,,,,y,n,n,n,n,n,y,n,n,n,n,,,,n,n,n,n,n,n,n,,
Vertigo binneyana,Cylindrical Vertigo,Pupillidae,"Sterki, 1890 ",G1,"IA,KS,MT,NM,WI,AB,BC,MB,ON",y,Pupa,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Vertigo bollesiana,Delicate Vertigo,Pupillidae,"(E.S. Morse, 1865) ",G4,"VT,WI,WV,NS,ON,QC,IA,KY,MA,MD,ME,MI,MN,NC,NH,NY,OH,PA,TN,VA",y,Pupa,,"1.5,1.5",",","4,5",,y,n,n,n,n,,y,,,,,y,n,n,n,n,n,y,n,n,n,n,,,,n,n,n,n,n,n,n,,Cylindrical ovate. Weak striae. Five teeth.
Vertigo brierensis,Briarton Pleistocene Snail,Pupillidae,"(Leonard, 1972) ",G1,"IA,IL,MN,WI,MB",y,Pupa,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Vertigo elatior,Tapered Vertigo,Pupillidae,"Sterki, 1894 ",G5,"NY,OH,SD,TX,UT,VA,WI,WY,AB,BC,ON,NF,AZ,DE,IA,IL,IN,KS,MA,ME,MI,MN,MO,MT,ND,NE,NM",y,Pupa,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Vertigo gouldi,Variable Vertigo,Pupillidae,"(A. Binney, 1843) ",G5,"NF,NS,ON,QC,AL,IA,IL,IN,KS,KY,LA,MD,ME,MI,MN,MO,NC,NH,NJ,NM,NY,OH,PA,TN,TX,UT,VA,WI,WV,AB,BC,NB",y,Pupa,,"1.5,2.1",",","4.5,5",,,,,,,,y,,,,,y,n,n,n,n,n,y,n,n,y,n,,,,n,n,n,n,n,n,n,,"Usually 5, sometimes 4, teeth."
Vertigo hubrichti,Hubricht's Vertigo,Pupillidae,"Pilsbry, 1934 ",G3,"IA,IL,IN,KY,MI,MN,MO,MS,NE,SD,WI,MB",y,Pupa,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Vertigo meramecensis,Bluff Vertigo,Pupillidae,"Van Devender, 1979 ",G2G3,"IA,IL,LA,MN,MO,MB",y,Pupa,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Vertigo milium,Blade Vertigo,Pupillidae,"(Gould, 1840) ",G5,"VT,WI,WV,ON,QC,AL,AR,FL,GA,IA,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,NC,NE,NJ,NM,NY,OH,OK,PA,SC,SD,TN,TX,VA",y,Pupa,,"1.3,1.75","0.8,1","4.5,5",,,,,,y,,y,,,,,n,,n,n,n,n,y,n,n,n,n,,,,n,n,n,n,n,n,n,,Six teeth.
Vertigo modesta,Cross Vertigo,Pupillidae,"(Say, 1824) ",G5,"TX,UT,WA,WI,AB,BC,LB,NF,NS,ON,AK,CA,IA,ID,IL,IN,KS,KY,ME,MI,MN,ND,NE,NM,SD",y,Pupa,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Vertigo occulta,Occult vertigo,Pupillidae,"Leonard, 1972 ",G2,"IA,IL,MN,WI,MB",y,Pupa,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Vertigo ovata,Ovate Vertigo,Pupillidae,"Say, 1822 ",G5,"AB,BC,LB,NS,ON,QC,AK,AL,AR,CA,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,NC,ND,NE,NJ,NM,NY,OH,OK,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV",y,Pupa,,"2.2,2.3","1.4,1.5","5,5",,,,,,y,,y,,,,,y,n,n,n,n,n,y,n,n,n,n,,,,n,n,n,n,n,n,n,,
Vertigo pygmaea,Crested Vertigo,Pupillidae,"(Draparnaud, 1801) ",G5,"WI,WV,NS,ON,DE,IA,IN,MA,MD,ME,MI,MN,MO,NJ,NY,OH,PA,TN,VA",y,Pupa,,"1.8,2",",","4.5,5",,,,,,y,,y,,,,,y,n,n,n,n,n,y,n,n,n,n,,,,n,n,n,n,n,n,n,,Weak striation.
Vertigo tridentata,Honey Vertigo,Pupillidae,"Wolf, 1870 ",G5,"NJ,NY,OH,OK,PA,SD,TN,TX,VA,WI,WV,ON,AR,DE,IA,IL,IN,KS,KY,LA,MA,MD,ME,MI,MO,MS,NE",y,Pupa,,"1.8,2.2","1,1.1","4.5,4.5",,,,,,y,,y,,,,,y,n,n,n,n,n,y,n,n,n,n,,,,n,n,n,n,n,n,n,,Shell is honey yellow. Mostly with 3 teeth.
Vertigo ventricosa,Five-Tooth Vertigo,Pupillidae,"(E.S. Morse, 1865) ",G5,"TN,VA,VT,WI,WV,NB,NS,ON,QC,IA,IL,IN,KY,MA,MD,ME,MI,MO,MS,NC,NY,OH,OK,PA",y,Pupa,,"1.7,2","1,1.2","4,4.5",,n,n,y,n,y,,y,,,,,y,n,n,n,n,n,y,n,n,n,n,,,,y,y,n,n,n,n,n,,Granules or puncta only seen under high magnification. Five teeth.
Columella columella,Mellow Column,Pupillidae,"(Martens, 1830) ",G5,"OH,SE,TX,UT,WA,WI,WY,AB,BC,ON,AK,AZ,CO,IA,IL,ID,IN,KS,KY,MI,MO,MS,MT,NE,NM",y,Pupa,,",",",",",",,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Columella edentula,Toothless Column,Pupillidae,"(Draparnaud, 1805) ",G5,"AB,BC,LB,MB,NB,NF,NS,ON,QC,YT,AK,AL,AR,CT,GA,IA,ID,IL,IN,KY,MA,MD,ME,MI,MO,MS,MT,NJ,NY,OH,OK,OR,PA,TN,WA,WI,WV,WY",y,Pupa,,",",",",",",,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Columella simplex,High-Spire Column,Pupillidae,"(Gould, 1840) ",G5Q,"NC,NM,NY,OH,OK,PA,SD,TN,TX,VA,WI,WV,ON,AL,AR,CT,GA,IA,IL,IN,KY,MA,MD,ME,MI,MN,MO,MS",y,Pupa,,"1.8,2.1",",","5.5,5.5",,y,n,n,n,n,,n,,,,,y,n,n,n,n,n,y,n,n,y,n,,,,n,n,n,n,n,n,n,,Transverse striae under magnification.
Strobilops aeneus,Bronze Pinecone,Strobilopsidae,"Pilsbry, 1926 ",G5,"NS,AL,AR,DE,FL,GA,HI,IA,IL,IN,KY,LA,MA,MD,MI,MO,MS,NC,NJ,NY,OH,OK,PA,SC,TN,TX,VA,WI,WV",y,Beehive,,"1.5,2","2.4,2.8","5.5,5.5",,n,n,y,n,y,,y,,,,,,,,n,y,y,n,n,n,n,y,,,,n,n,n,n,n,n,n,,Narrowly umbilicate (diameter is 6 1/2x umbilicus).
Strobilops affinis,Eightfold Pinecone,Strobilopsidae,"Pilsbry, 1893 ",G4G5,"MB,ON,QC,IL,IN,KY,MA,ME,MI,MN,MO,NJ,NY,OH,PA,RI,TN,WI",y,Beehive,,"2.5,2.6","2.75,2.8","6,6",,n,n,y,n,y,,y,,,,,n,y,n,n,y,y,n,n,n,n,y,,,,n,n,n,n,n,n,n,,
Strobilops labyrinthicus,Maze Pinecone,Strobilopsidae,"(Say, 1817) ",G5,"VT,WI,WV,NB,NS,ON,QC,AL,AR,CT,GA,IA,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,NC,NE,NH,NJ,NY,OH,OK,PA,SC,SD,TN,TX,VA",y,Beehive,,"1.7,1.8","2.3,2.5","5.5,5.5",,n,n,y,n,y,,y,,,,,n,y,n,n,n,y,n,n,n,n,y,,,,n,n,n,n,n,n,n,,Narrowly umbilicate (contained 9 to 11 times in diameter).
Novisuccinea chittenangoensis,Chittenango Ambersnail,Succineidae,"(Pilsbry, 1908) ",G1,"AR,IA,IL,MO,NY,VA",y,Succiniform,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Novisuccinea ovalis,Oval Ambersnail,Succineidae,"(Say, 1817) ",G5,"NS,ON,QC,AR,CA,CT,DE,GA,IA,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,NC,ND,NE,NH,NJ,NY,OH,OR,PA,RI,SC,SD,VT,WI,WV,IL,TN,VA,NB,NF",y,Succiniform,,"6,26",",","2.5,2.5",,,,,,n,,n,,,,,y,n,n,n,n,n,y,n,n,n,n,,,,n,n,n,n,n,n,n,,Spire is smaller than aperture. Genital aperture noticably swollen.
Oxyloma haydeni,Niobrara Ambersnail,Succineidae,"(W.G. Binney, 1858) ",G2G3,"AZ,NE,UT,WA,WY,AB,MB,NT",y,Succiniform,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Oxyloma retusum,Blunt Ambersnail,Succineidae,"(I. Lea, 1834) ",G5,"AB,NS,QC,CA,CT,IA,IL,IN,KS,KY,MA,ME,MI,MN,ND,NE,NH,NJ,NM,NY,OH,PA,SD,TN,UT,VA,VT,WI",y,Succiniform,,"7.5,20",",","2.5,4.5",,,,,,n,,n,,,,,y,n,n,n,,,,n,n,n,n,,,,n,n,n,n,n,n,n,,Oxyloma have spires smaller than aperture opening. Aperture is narrowly ovate.
Oxyloma sillimani,Humboldt Ambersnail,Succineidae,"(Bland, 1865) ",G2,"CA,NV,UT",y,Succiniform,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Succinea forsheyi,Spotted Ambersnail,Succineidae,"I.Lea, 1864 ",G4,"TN,TX,WI,AL,AR,FL,IA,IL,KS,KY,LA,MO,NC,NE,NM,OK",y,Succiniform,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Succinea grosvenori,Santa Rita Ambersnail,Succineidae,"I. Lea, 1864 ",G5,"UT,WY,AB,MB,NT,ON,SK,AL,AR,AZ,FL,KS,KY,LA,MO,MS,NM,OK,TN,TX",y,Succiniform,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Succinea indiana,Xeric Ambersnail,Succineidae,"Pilsbry, 1905 ",G5,"NJ,NY,OK,SC,SD,ON,AL,AR,DE,FL,GA,IN,KS,MD,ME,MO,NC,ND,NE",y,Succiniform,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Catinella gelida,none,Succineidae,"(F.C. Baker, 1927) ",G1,"IA,IL,IN,KY,MI,MO,MS,OH,SD,WI",y,Succiniform,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Catinella vermeta,Suboval Ambersnail,Succineidae,"(Say, 1829) ",G5,"AB,BC,NB,NF,NS,ON,QC,AL,AR,CA,FL,GA,IA,ID,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,NC,ND,NH,NJ,NM,NY,OH,OK,PA,SC,TX,UT,VT,WA,WI,WV,IL,TN,VA",y,Succiniform,,"7,11","4,6.8","2.5,3.5",,,,,,,,n,,,,,n,,n,n,,,,n,n,n,n,,,,n,n,n,n,n,n,n,,Catinella species have spires almost as long as aperture.
Catinella wandae,Slope Ambersnail,Succineidae,"(Webb, 1953) ",G2,"AR,IA,KS,OK,WY",y,Succiniform,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Vallonia costata,Costate Vallonia,Valloniidae,"(Muller, 1774) ",G5,"OH,PA,SD,VA,WI,WV,ON,QC,CA,DE,IA,IL,IN,KY,MA,MD,ME,MI,MN,NC,NE,NJ,NY",y,Depressed Heliciform,,"2.5,3","1,1.2","3.5,3.5",,n,n,y,n,y,,n,,,,,n,,n,n,,,,y,n,n,y,,,,n,n,n,n,n,n,n,,
Vallonia cyclophorella,Silky Vallonia,Valloniidae,"Sterki, 1892 ",G5,"WI,WY,AB,BC,MB,ON,SK,AK,AZ,CA,CO,IA,ID,MT,ND,NM,OR,SD,TX,UT,VT,WA",y,Depressed Heliciform,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Vallonia gracilicosta,Multiribbed Vallonia,Valloniidae,"Reinhardt, 1883 ",G5Q,"NF,NU,ON,QC,AZ,CA,CO,IA,ID,IL,IN,KS,KY,MA,ME,MN,MO,MT,ND,NE,NM,NY,OK,RI,SD,TX,UT,WI,WY,AB,BC,MB",y,Depressed Heliciform,,"1,1","2.3,2.9","3.5,3.75",,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Vallonia parvula,Trumpet Vallonia,Valloniidae,"Sterki, 1893 ",G4,"VA,WI,ON,IA,IL,KS,KY,MI,MN,MO,NE,NM,NY,OH,OK,SD,TN,TX",y,Depressed Heliciform,,"0.8,0.8","1.6,2.1","3.25,3.25",,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,"Surface: of embryonic whorls smooth, later whorls with prominent axial ribs and smaller irregular lines in between; body whorl with about 30 to 38 ribs. Color: grayish white, translucent; peristome similarly colored."
Vallonia perspectiva,Thin-Lip Vallonia,Valloniidae,"Sterki, 1893 ",G4G5,"TN,TX,UT,VA,WI,WV,AB,AL,AR,IA,IL,KY,MD,MN,MO,MS,NC,ND,NE,NJ,NM,SD",y,Depressed Heliciform,,"0.7,0.7","2,2",",",,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,"Surface: of embryonic whorls smooth, finely granulose; later whorls with prominent axial ribs,and fine irregular growth lines in between; body whorl with about 35 ribs. Color: grayish white, translucent."
Vallonia pulchella,Lovely Vallonia,Valloniidae,"(Muller, 1774) ",G5,"NB,NF,NS,ON,QC,CA,CT,DE,IA,IL,IN,KY,MA,MD,ME,MI,MN,MO,NC,NE,NJ,NY,OH,PA,SD,TX,UT,VA,WA,WI,WV,AB,BC",y,Depressed Heliciform,,"1,1.5","2,2.5","3,3.5",,n,n,y,n,y,,n,,,,,y,n,n,n,n,n,y,n,n,n,n,,,,n,n,n,n,n,n,n,,
Glyphyalinia indentata,Carved Glyph,Zonitidae,"(Say, 1823) ",G5,"WV,NS,ON,QC,AL,AR,FL,GA,IA,IL,IN,KS,KY,LA,MA,MD,ME,MI,MO,MS,NC,NJ,NM,NY,OH,OK,PA,SC,TN,TX,UT,VA,VT,WI",y,Depressed Heliciform,,"2.1,3","4.7,5.7","4,4.5",,y,n,n,y,n,,n,,,,,n,,n,n,n,n,y,y,n,y,n,,,,n,n,n,n,n,n,y,,"Indented transverse striae-- usually about 28. Umbilicus contained 25 to 30 times in diameter. Spiral striae fine.
Surface: glossy, embryonic whorl finely granulose; later whorls with regularly spaced axial grooves, about 28 on body whorl, extending across the base to the umbilicus; spiral striae faint, but may usually be seen on some parts of the body whorl. Color: light amber, translucent to nearly transparent. Animal: bluish black."
Hawaiia minuscula,Minute Gem,Zonitidae,"(A. Binney, 1841) ",G5,"NS,ON,QC,AL,AR,CA,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,NE,NJ,NM,NY,OH,OK,PA,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,AB,NF",y,Depressed Heliciform,,"1.2,1.2","2,2.8","3.5,4.5",,n,n,y,n,n,,n,,,,,n,y,n,n,n,n,y,y,n,y,n,,,,n,n,n,n,n,n,y,,"Umbilicus about 3 times in diameter. Embryonic whorl smooth, then unevenly striate above, smooth below. Transverse striae are under magnification, and spiral striae are faint.
Surface: of embryonic whorl smooth; later whorls with fine uneven growth lines; spiral striae faint or not visible. Color: grayish white with faint brownish cast, translucent. Animal: bluish black."
Mesomphix friabilis,Brittle Button,Zonitidae,"(W.G Binney, 1857) ",G5,"AL,AR,IL,IN,KY,LA,MO,MS,OH,OK,TN,TX",y,Heliciform,,"17,20.5","21,26",,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Mesomphix inornatus,Plain Button,Zonitidae,"(Say, 1821) ",G5,"QC,IN,KY,MA,MD,NJ,NY,OH,PA,TN,VA,VT,WV,ON,",y,Depressed Heliciform,,"8,11","16.5,21","4,5",,y,n,n,n,n,,n,,,,,n,y,n,n,n,n,y,n,n,n,n,,,,y,n,n,n,n,n,y,,Papillae are closely arranged almost in a spiral striae.
Nesovitrea binneyana,Blue Glass,Zonitidae,"(E.S. Morse, 1864) ",G5,"QC,CA,CO,IA,ID,IN,KY,MA,ME,MI,MN,MT,ND,NE,NH,NY,OH,OR,PA,SD,UT,WA,WI,WY,AB,BC,MB,NS,ON",y,Depressed Heliciform,,"1.75,1.75","3.5,4.3","3.5,4",,n,n,y,n,n,,n,,,,,n,y,n,n,n,n,y,n,n,n,n,,,,n,n,n,n,n,n,y,,"Separated from N. electrina by being smaller, its shell is white with greenish tint. Animal dark blue."
Nesovitrea electrina,Amber Glass,Zonitidae,"(Gould, 1841) ",G5,"VA,VT,WA,WI,WV,AB,BC,LB,NB,NF,NS,ON,QC,IL,AK,AR,AZ,CT,DE,IA,ID,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,NE,NH,NJ,NM,NY,OH,OK,PA,SD,TN,TX,UT",y,Depressed Heliciform,,"2.5,2.8","4.1,5.1","4,4.5",,n,n,y,n,n,,n,,,,,n,y,n,n,n,n,y,y,n,y,n,,,,n,n,n,n,n,n,y,,"Shell transparent with a faint yellow or green tint. Very dark animal.
Surface: glossy, first whorl smooth, later whorls with irregularly spaced axial grooves, base with grooves greatly diminished, spiral striae fine to absent. Color: light brown with a yellowish or greenish tint, translucent. Animal: almost black, lighter near the foot; sole tripartite, separated by impressed lines."
Oxychilus cellarius,Cellar Glass-snail,Zonitidae,,,"CA,IA,IL,IN,MA,MD,ME,MI,NJ,NY,OH,OK,OR,PA,RI,SC,VA,WA",n,Depressed Heliciform,,"4.2,4.2","9,9","5,5",,n,n,y,n,n,,n,,,,,n,y,n,n,n,n,y,y,n,n,n,,,,n,n,n,n,n,n,y,,"Umbilicus 6 times in diameter. Shell clear corneous with a faint amber or yellowish above, and whitish around umbilicus. Animal light gray, darker above, pale sole, and brown spots at mantle. 
urface: glossy, embryonic whorls smooth, later whorls with axial growth lines barely visible; spiral striae faint. Color: light yellowish brown, underside whitish. Animal: usually pale bluish gray."
Striatura exigua,Ribbed Striate,Zonitidae,"(Stimpson, 1850) ",G5,"OR,PA,TN,VA,VT,WI,WV,NB,NF,NS,ON,QC,CT,IA,KY,LA,MA,MD,ME,MI,MN,MS,NC,NH,NJ,NY,OH",y,Depressed Heliciform,,"1.2,1.3","2.2,2.4","3.5,3.5",,n,n,y,n,n,,n,,,,,n,y,n,n,n,n,y,y,n,n,y,,,,n,n,n,n,n,n,y,,"Ribs start after first 1.5 whorls. Umbilicus 1/3 width of body. The shell of Striatura exigua is uniquely sculptured, with fine spiral lirae creating a crosshatch pattern interrupted by taller transverse ridges. No other tiny shell bears this one-of-a-kind microsculpture. The umbilicus is open and wider than the aperture, which is rounded and simple."
Striatura milium,Fine-Ribbed Striate,Zonitidae,"(E.S. Morse, 1859) ",G5,"NY,OH,OK,PA,VA,VT,WI,WV,NF,NS,ON,QC,CT,DE,IA,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,NE,NJ",y,Depressed Heliciform,,"0.8,0.8","1.5,1.5","3,3.5",,n,n,y,n,n,,n,,,,,n,y,n,n,n,n,y,y,n,n,y,,,,n,n,n,n,n,n,y,,"The tiny shell of Striatura milium has a depressed heliciform shape, is more loosely coiled and has a little bit coarser microsculpture than other Striatura species. Compared with other striates, it lacks sculpture on its nuclear whorl. The tops of the remaining whorls are ribbed radially, with intersecting spiral lirae. The base is nearly smooth. The umbilicus is open and the rounded aperture is angled slightly downward."
Zonitoides arboreus,Quick Gloss,Zonitidae,"(Say, 1816) ",G5,"WA,WI,WV,WY,AB,BC,NB,NF,NS,ON,QC,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT",y,Depressed Heliciform,,"2.5,3","4.5,6","4.5,5",,n,n,y,n,n,,n,,,,,n,y,n,n,n,n,y,y,n,n,n,,,,n,n,n,n,n,n,y,,"Surface: of embryonic whorls smooth; later whorls
with weak axial growth lines and minute spiral striae. Color: light yellowish brown with olive tint, translucent, glossy. Animal: bluish gray, lighter on the sides; tail unpigmented; eyes black; sole white or light gray."
Zonitoides limatulus,Dull Gloss,Zonitidae,"(A. Binney, 1840) ",G4G5,"IA,IL,IN,KY,ME,MI,MN,MO,NY,OH,VT,WI",y,Depressed Heliciform,,"2,2.7","4.3,5","4,4.5",,n,n,y,n,n,,n,,,,,,,,n,n,y,n,,n,,,,,,,,,,,,,,"This species may be confused with Discus whitneyi, but is distinguished by the axial ridges, which in D. whitneyi are much coarser and more regularly spaced, with the ridges well defined on the base.
Surface: of embryonic whorls smooth; later whorls with close spaced, prominent axial ridges, which are less distinct on the ventral surface.
Color: whitish corneous, some with a greenish tint; translucent to opaque."
Zonitoides nitidus,Black Gloss,Zonitidae,"(Muller, 1774) ",G5,"NF,NS,ON,QC,AK,DE,IA,IL,IN,KY,LA,MA,MD,ME,MI,MN,NE,NJ,NY,OH,OK,OR,PA,SD,TN,UT,VT,WA,WI,WV,AB,BC",y,Heliciform,,"3.6,4","6,7","4.5,5",,n,n,y,n,n,,n,,,,,n,y,n,n,n,n,y,n,n,n,n,,,,n,n,n,n,n,n,y,,Animal is black. Small orange spot behind shell near opening.